havg	hmax	hmin	hv	savg	smax	smin	sv	vavg	vmax	vmin	vv	frame_edges_comp	frame_comp
4718150922240.0	179.0	0.0	3375.1978252731424	2481084518400.0	255.0	0.0	3591.3138220340834	13199880069120.0	255.0	0.0	7205.652038296404	4274.75	2928.1736683649833
4721771827200.0	179.0	0.0	3385.2904522205877	2478651863040.0	255.0	0.0	3578.792447760402	13203067514880.0	255.0	0.0	7188.498508913603	4179.25	2765.737644742936
4719821660160.0	179.0	0.0	3377.0650319391248	2469232435200.0	255.0	0.0	3522.89892987406	13211378565120.0	255.0	0.0	7156.6946268521215	4128.25	3139.9408831249025
4702619934720.0	179.0	0.0	3347.353801199446	2456021544960.0	255.0	0.0	3432.5543043756797	13218781900800.0	255.0	0.0	7111.531892764209	3902.0	3319.9184691987025
4683671347200.0	179.0	0.0	3314.8472670823203	2441503457280.0	255.0	0.0	3331.162600488387	13225793740800.0	255.0	0.0	7067.098810657566	3595.0	3210.2206885903965
4661320458240.0	179.0	0.0	3270.0771253708945	2425993789440.0	255.0	0.0	3248.8208339015746	13232891535360.0	255.0	0.0	7023.5114342858005	3237.25	3037.134074417168
4638230507520.0	179.0	0.0	3222.5776176408876	2410423357440.0	255.0	0.0	3159.591903084129	13236508692480.0	255.0	0.0	6995.724113705223	2955.75	2785.0209476096934
4628165345280.0	179.0	0.0	3183.8420715294947	2394225745920.0	255.0	0.0	3108.038629074923	13235028541440.0	255.0	1.0	6985.881135318503	2928.5	2617.956299990664
4634254602240.0	179.0	0.0	3157.8436380976045	2381170176000.0	255.0	0.0	3100.0743063344635	13230643998720.0	255.0	1.0	7002.078377097352	3001.75	2589.100000778065
4639132200960.0	179.0	0.0	3137.946501739725	2373319802880.0	255.0	0.0	3102.244392438316	13223246684160.0	255.0	0.0	7028.9862730693185	3137.25	2617.5999930584417
4655330979840.0	179.0	0.0	3171.6103819434798	2351310827520.0	255.0	0.0	3046.921006263616	13217414983680.0	255.0	0.0	7049.883358936531	3222.25	2467.959275493522
4673382236160.0	179.0	0.0	3204.6607005391015	2346750812160.0	255.0	0.0	3087.1527135278493	13202068623360.0	255.0	0.0	7077.672262097518	3193.75	2467.0631899375167
4688008704000.0	179.0	0.0	3241.094745565425	2347724451840.0	255.0	0.0	3123.7757672051853	13185569218560.0	255.0	0.0	7098.023394667944	2960.0	2362.243851976071
4696864051200.0	179.0	0.0	3281.805036670059	2352783237120.0	255.0	0.0	3149.0190450284317	13168786821120.0	255.0	0.0	7105.92631933489	2954.0	2412.0687554807796
4702356357120.0	179.0	0.0	3327.1161881486473	2359525662720.0	255.0	0.0	3180.3777238271077	13152811438080.0	255.0	0.0	7108.615091457081	2682.25	2134.1173929672705
4693671014400.0	179.0	0.0	3319.501404117892	2384614318080.0	255.0	0.0	3273.2271750628997	13134650757120.0	255.0	0.0	7118.7819650024085	2431.25	1751.4770728714125
4685458759680.0	179.0	0.0	3323.1956484418874	2395478999040.0	255.0	0.0	3277.299511354403	13127488512000.0	255.0	0.0	7115.827783768589	2278.0	1666.6096660667934
4674718187520.0	179.0	0.0	3322.4199574355453	2402490777600.0	255.0	0.0	3269.6032479426067	13122807152640.0	255.0	0.0	7113.128283351515	1999.0	1492.9159151018403
4680731320320.0	179.0	0.0	3351.336236909592	2384507105280.0	255.0	0.0	3178.0885646153874	13125996933120.0	255.0	0.0	7098.784676395362	1798.75	1443.4228048656198
4681839759360.0	179.0	0.0	3331.609024393305	2380672819200.0	255.0	0.0	3139.661532906151	13126888181760.0	255.0	0.0	7089.844071451854	1782.5	1476.1906536720687
4689195663360.0	179.0	0.0	3311.9687896360406	2376315617280.0	255.0	0.0	3100.6305997220998	13128295403520.0	255.0	0.0	7085.719178157415	1794.75	1397.4382236536576
